Oscar BoxOffice Budget Country Critics Length
0 69.03 26.89 Europe 25.8 99.0 
0 15.22 20.77 India 10.0 125.0 
0 83.54 87.27 America 39.9 73.0 
0 41.45 23.42 India 44.4 121.0 
0 80.27 13.71 Other 17.7 104.0 
0 51.84 28.57 India 80.0 164.0 
1 70.07 31.22 India 49.8 157.0 
0 44.97 69.72 America 23.0 76.0 
0 27.54 32.85 Europe 29.0 115.0 
0 43.87 32.91 Europe 77.9 127.0 
0 90.92 19.29 Other 66.8 117.0 
0 53.87 69.64 America 22.3 68.0 
0 114.39 25.46 India 33.1 139.0 
0 79.01 85.94 America 24.3 75.0 
1 73.67 100.58 America 38.3 74.0 
0 63.28 110.33 America 39.3 87.0 
0 20.91 21.73 Other 77.4 112.0 
0 37.8 33.56 Europe 68.2 124.0 
1 43.61 46.16 UK 38.5 108.0 
1 53.53 18.67 Other 68.6 127.0 
0 19.95 29.34 India 45.2 153.0 
1 118.47 127.11 America 75.1 97.0 
0 21.5 24.9 India 49.0 177.0 
0 32.81 21.7 India 38.9 128.0 
0 42.53 30.22 UK 61.0 81.0 
0 18.69 18.39 Other 53.7 118.0 
0 42.33 85.12 America 25.2 86.0 
0 34.53 125.18 America 17.0 97.0 
0 101.93 94.49 America 40.2 71.0 
0 39.07 18.61 India 33.3 132.0 
0 27.95 33.35 India 17.5 161.0 
0 39.46 20.05 India 35.2 135.0 
1 138.87 106.23 America 77.2 97.0 
1 97.3 24.34 Other 92.4 126.0 
0 27.12 28.46 UK 14.7 81.0 
0 186.9 101.71 America 41.8 93.0 
1 155.68 31.03 UK 38.2 99.0 
0 55.97 29.8 UK 63.3 101.0 
0 71.93 90.18 America 26.1 98.0 
0 78.23 92.39 America 22.1 70.0 
0 50.46 35.05 UK 87.7 95.0 
0 62.99 95.93 America 28.3 80.0 
1 124.13 111.45 America 73.5 82.0 
1 127.24 127.39 America 78.8 98.0 
1 75.68 29.21 India 80.2 163.0 
1 37.59 25.38 India 65.3 138.0 
1 130.47 85.72 America 50.4 85.0 
1 118.92 33.16 Europe 81.1 110.0 
1 75.66 23.98 UK 65.7 83.0 
0 7.89 25.47 India 10.8 153.0 
1 21.25 20.79 Other 56.5 113.0 
1 198.51 121.92 America 76.5 96.0 
0 130.16 87.89 America 56.7 70.0 
0 185.59 126.47 America 86.1 97.0 
0 179.04 94.52 America 77.2 91.0 
0 89.91 26.28 India 15.4 136.0 
